date,symbol,action,entry,current,exit,pnl_pct
2025-07-08,AAPL,BUY,478.0,473.2,473.2,0.0
2025-07-08,GOOG,BUY,25.6899,25.43,25.43,-1.0
2025-07-08,MSFT,BUY,466.54,480.54,480.54,-0.13
2025-07-08,NVDA,BUY,632.39,,626.13,0.47
2025-07-08,DELL,BUY,281.86,,279.03,-1.0
2025-07-09,BA,BUY,478.0,473.2,473.2,3.0
2025-07-09,JNJ,BUY,25.6899,25.43,25.43,0.13
2025-07-09,LOGI,BUY,466.54,480.54,480.54,0.27
2025-07-09,SHEL,BUY,632.39,,626.13,-0.29
2025-07-09,XOM,BUY,281.86,,279.03,-0.14
2025-07-10,AMD,BUY,478.0,473.2,473.2,0.72
2025-07-10,MU,BUY,25.6899,25.43,25.43,-1.0
2025-07-10,NVDA,BUY,466.54,480.54,480.54,-1.0
2025-07-10,TSM,BUY,632.39,,626.13,-1.0
2025-07-10,BLK,BUY,281.86,,279.03,1.0
2025-07-11,INTC,BUY,478.0,473.2,473.2,-1.0
2025-07-11,TSLA,BUY,25.6899,25.43,25.43,1.92
2025-07-11,FUTU,BUY,466.54,480.54,480.54,-1.0
2025-07-11,AMD,BUY,632.39,,626.13,3.0
2025-07-11,COIN,BUY,281.86,,279.03,-1.0
2025-07-14,HCC,BUY,52.98,,52.42,-1.0
2025-07-14,FUTU,BUY,150.24,,148.73,-1.0
2025-07-14,HAL,BUY,22.93,,22.7,-1.0
2025-07-14,COIN,BUY,391.14,,393.19,0.52
2025-07-14,BA,BUY,231.67,,229.35,-1.0
2025-07-15,C,BUY,88.7985,91.64,91.46,3.0
2025-07-15,BAC,BUY,46.8026,46.3,46.3306,-1.01
2025-07-15,TSM,BUY,234.55,237.48,237.25,1.15
2025-07-15,NVDA,BUY,171.16,,169.45,-1.0
2025-07-15,BLK,BUY,171.16,,169.45,-1.0
2025-07-16,BABA,BUY,115.67,,114.51,-1.0
2025-07-16,COGT,BUY,11.67,,11.86,1.62
2025-07-16,AMD,BUY,155.33,,153.77,-1.0
2025-07-16,CVX,BUY,150.97,,149.46,-1.0
2025-07-16,NIO,BUY,4.16,,4.09,-1.0
2025-07-17,MSFT,BUY,505.74,511.328,511.328,1.1
2025-07-17,TSM,BUY,245.76,243.45,243.45,-0.94
2025-07-17,MU,BUY,113.7489,112.6,112.6,-1.01
2025-07-17,PEP,BUY,142.9888,145.47,145.47,1.74
2025-07-17,NVDA,BUY,172.03,173.1501,173.1501,0.65
2025-07-18,GOOG,BUY,186.2989,186.025,186.025,-0.15
2025-07-18,AAPL,BUY,210.73,211.1503,211.1503,0.2
2025-07-18,AMD,BUY,159.61,158.08,158.08,-0.96
2025-07-18,MMM,BUY,163.04,161.4,161.4,-1.01
2025-07-18,AXP,BUY,310.57,307.0,307.0,-1.15
2025-07-21,V,BUY,349.2582,351.32,351.32,0.59
2025-07-21,AAPL,BUY,211.9399,212.2248,212.2248,0.13
2025-07-21,GM,BUY,53.5889,53.2001,53.2001,-0.73
2025-07-21,MU,BUY,113.6,113.21,113.21,-0.34
2025-07-21,NVDA,BUY,173.09,171.5248,171.5248,-0.9
2025-07-22,PLTR,SELL_SHORT,150.8011,146.28,146.28,3.0
2025-07-22,LNG,SELL_SHORT,225.5315,228.0,228.0,-1.09
2025-07-22,SHEL,SELL_SHORT,70.5536,71.2599,71.2599,-1.0
2025-07-22,NOC,SELL_SHORT,537.0,543.97,543.97,-1.3
2025-07-22,LMT,SELL_SHORT,424.43,428.8,428.8,-1.03
2025-07-23,GOOG,BUY,192.4289,190.51,190.51,-1.0
2025-07-23,TSM,BUY,238.485,239.795,239.795,0.55
2025-07-23,NVDA,BUY,169.731,168.03,168.03,-1.0
2025-07-23,TSLA,BUY,330.79,332.1154,332.1154,0.4
2025-07-23,MU,BUY,109.4594,109.4896,109.4896,0.03
2025-07-24,VRTX,BUY,478.0,473.2,473.2,-1.0
2025-07-24,SONY,BUY,25.6899,25.43,25.43,-1.01
2025-07-24,TMO,BUY,466.54,480.54,480.54,3.0
2025-07-24,GEV,BUY,632.39,,626.13,-1.0
2025-07-24,WST,BUY,281.86,,279.03,-1.0
2025-07-25,AN,BUY,478.0,473.2,473.2,-1.0
2025-07-25,AON,BUY,25.6899,25.43,25.43,-1.01
2025-07-25,SAM,BUY,466.54,480.54,480.54,-1.0
2025-07-25,BAH,BUY,632.39,,626.13,-1.0
2025-07-25,PARA,BUY,281.86,,279.03,-1.0
2025-07-29,NVDA,BUY,177.86,176.08,176.08,-1.0
2025-07-29,LUNR,BUY,12.755,12.63,12.63,-0.98
2025-07-29,UNP,BUY,227.57,225.29,225.29,-1.0
2025-07-29,MU,BUY,112.0789,110.96,110.96,-1.0
2025-07-29,TSM,BUY,241.55,241.7024,241.7024,0.06
2025-08-06,VRTX,BUY,375.07,386.32,386.32,3.0
2025-08-06,PLTR,BUY,171.205,176.34,176.34,3.0
2025-08-06,BP,BUY,34.1793,33.84,33.84,-0.99
2025-08-06,DELL,BUY,128.03,126.75,126.75,-1.0
2025-08-06,AMD,BUY,164.87,163.22,163.22,-1.0
